sub,source,target,fold,1_test,2_test,3_test,4_test,5_test,6_test,1_train,2_train,3_train,4_train,5_train,6_train
4,"['2', '4', '5', '6', '8']","['2', '4', '5', '6', '8']",4,0.886734693877551,0.7775510204081633,0.773469387755102,0.9071428571428571,0.8112244897959183,0.6714285714285714,0.9413414945167049,0.936734693877551,0.90464048954615,0.9408163265306122,0.9530612244897959,0.7635807192042846
5,"['2', '4', '5', '6', '8']","['2', '4', '5', '6', '8']",0,0.6836734693877551,0.8112244897959183,0.8826530612244898,0.9193877551020408,0.9081632653061225,0.8377551020408164,0.8834183673469388,0.9288265306122448,0.9426020408163265,0.9589285714285715,0.9357142857142857,0.8533537362917623
5,"['2', '4', '5', '6', '8']","['2', '4', '5', '6', '8']",1,0.5795918367346938,0.8479591836734693,0.8948979591836734,0.9387755102040817,0.8571428571428571,0.7938775510204081,0.874234693877551,0.914795918367347,0.9482142857142857,0.9591836734693877,0.9423469387755102,0.8650854373884214
5,"['2', '4', '5', '6', '8']","['2', '4', '5', '6', '8']",2,0.7683673469387755,0.8693877551020408,0.9489795918367347,0.8612244897959184,0.8744897959183674,0.7561224489795918,0.861734693877551,0.9165816326530613,0.9372448979591836,0.9617346938775511,0.9448979591836735,0.842897220096914
5,"['2', '4', '5', '6', '8']","['2', '4', '5', '6', '8']",3,0.8520408163265306,0.8724489795918368,0.8908163265306123,0.8887755102040816,0.9061224489795918,0.7329255861365953,0.8551020408163266,0.9255102040816326,0.9494897959183674,0.9607142857142857,0.9303571428571429,0.8599489795918367
5,"['2', '4', '5', '6', '8']","['2', '4', '5', '6', '8']",4,0.6938775510204082,0.8918367346938776,0.8346938775510204,0.9571428571428572,0.9040816326530612,0.746938775510204,0.8829081632653061,0.911734693877551,0.950765306122449,0.9540816326530612,0.9451530612244898,0.8653404743687835
6,"['2', '4', '5', '6', '8']","['2', '4', '5', '6', '8']",0,0.7571428571428571,0.860204081632653,0.7139938712972421,0.7959183673469388,0.6887755102040817,0.8397959183673469,0.9461871971435858,0.9280612244897959,0.8341836734693877,0.9206834991073706,0.8892857142857142,0.8596938775510204
6,"['2', '4', '5', '6', '8']","['2', '4', '5', '6', '8']",1,0.9142857142857143,0.7857142857142857,0.6755102040816326,0.8857142857142857,0.7489795918367347,0.8040816326530612,0.9285896454985973,0.9321428571428572,0.8331206940546058,0.9219586840091814,0.8755102040816326,0.8793367346938775
6,"['2', '4', '5', '6', '8']","['2', '4', '5', '6', '8']",2,0.8888888888888888,0.8642857142857143,0.75,0.8510204081632653,0.7979591836734694,0.6020408163265306,0.9285714285714286,0.9306122448979591,0.8226588415412095,0.928079571537873,0.8734693877551021,0.8951530612244898
6,"['2', '4', '5', '6', '8']","['2', '4', '5', '6', '8']",3,0.8877551020408163,0.7877551020408163,0.689795918367347,0.8267074413863404,0.7704081632653061,0.9734693877551021,0.9252741647538893,0.9461734693877552,0.8479203878540444,0.9219387755102041,0.8737244897959183,0.8471938775510204
