sub,source,target,fold,1_test,2_test,3_test,4_test,5_test,6_test,1_train,2_train,3_train,4_train,5_train,6_train
3,"['1', '3', '10', '7', '9']","['1', '3', '10', '7', '9']",0,0.6571428571428571,0.7489795918367347,0.8040816326530612,0.8204081632653061,0.8551020408163266,0.7612244897959184,0.8551020408163266,0.8630102040816326,0.8698979591836735,0.9232142857142858,0.8565960704261291,0.7811224489795918
3,"['1', '3', '10', '7', '9']","['1', '3', '10', '7', '9']",1,0.7520408163265306,0.7959183673469388,0.8571428571428571,0.8653061224489796,0.7959183673469388,0.7061224489795919,0.8545918367346939,0.8589285714285714,0.8579081632653062,0.9288265306122448,0.8662924215361062,0.7895408163265306
3,"['1', '3', '10', '7', '9']","['1', '3', '10', '7', '9']",2,0.7663265306122449,0.7816326530612245,0.7326530612244898,0.7581632653061224,0.7673469387755102,0.6704081632653062,0.8494897959183674,0.8678571428571429,0.861734693877551,0.9275510204081633,0.8793059453942332,0.7821428571428571
3,"['1', '3', '10', '7', '9']","['1', '3', '10', '7', '9']",3,0.7724489795918368,0.7571428571428571,0.7357142857142858,0.8438775510204082,0.7599591419816139,0.5612244897959183,0.8410714285714286,0.8706632653061225,0.878061224489796,0.9214285714285714,0.8813775510204082,0.7910714285714285
3,"['1', '3', '10', '7', '9']","['1', '3', '10', '7', '9']",4,0.7061224489795919,0.810204081632653,0.826530612244898,0.7581632653061224,0.8275510204081633,0.6857142857142857,0.8482142857142857,0.8487244897959184,0.8630102040816326,0.922704081632653,0.8611890788466445,0.8073979591836735
4,"['1', '3', '10', '7', '9']","['1', '3', '10', '7', '9']",0,0.8816326530612245,0.6581632653061225,0.8511722731906218,0.8826530612244898,0.8663265306122448,0.6571428571428571,0.9122448979591836,0.9017857142857143,0.9211734693877551,0.8846350178662583,0.9413265306122449,0.8206632653061224
4,"['1', '3', '10', '7', '9']","['1', '3', '10', '7', '9']",1,0.7295918367346939,0.7428571428571429,0.8551020408163266,0.7535787321063395,0.8377551020408164,0.826530612244898,0.9270408163265306,0.9221938775510204,0.9260392756949758,0.9005102040816326,0.9482142857142857,0.8043367346938776
4,"['1', '3', '10', '7', '9']","['1', '3', '10', '7', '9']",2,0.8948979591836734,0.8244897959183674,0.8387755102040816,0.8153061224489796,0.8755102040816326,0.6806122448979591,0.9150510204081632,0.8974489795918368,0.9344554960469268,0.8922919857069934,0.9418367346938775,0.8221938775510204
4,"['1', '3', '10', '7', '9']","['1', '3', '10', '7', '9']",3,0.8663265306122448,0.8010204081632653,0.8051020408163265,0.8173469387755102,0.9244897959183673,0.786734693877551,0.9104591836734693,0.9142857142857143,0.9237439428717164,0.8925472179683512,0.9451530612244898,0.8127551020408164
4,"['1', '3', '10', '7', '9']","['1', '3', '10', '7', '9']",4,0.8448979591836735,0.8377551020408164,0.8714285714285714,0.8163265306122449,0.8418367346938775,0.8,0.9061224489795918,0.9068877551020408,0.9301198673807702,0.909903011740684,0.9454081632653061,0.8043367346938776
5,"['1', '3', '10', '7', '9']","['1', '3', '10', '7', '9']",0,0.8224489795918367,0.7959183673469388,0.789795918367347,0.9010204081632653,0.8693877551020408,0.4316326530612245,0.8880102040816327,0.8803571428571428,0.9040816326530612,0.9505102040816327,0.9125,0.7849489795918367
5,"['1', '3', '10', '7', '9']","['1', '3', '10', '7', '9']",1,0.8010204081632653,0.6622448979591836,0.8489795918367347,0.8081632653061225,0.8663265306122448,0.7071428571428572,0.8979591836734694,0.8941326530612245,0.9025510204081633,0.9448979591836735,0.9188775510204081,0.7673469387755102
5,"['1', '3', '10', '7', '9']","['1', '3', '10', '7', '9']",2,0.8336734693877551,0.813265306122449,0.8591836734693877,0.8734693877551021,0.8326530612244898,0.65,0.8880102040816327,0.8841836734693878,0.9040816326530612,0.9520408163265306,0.9201530612244898,0.7989795918367347
5,"['1', '3', '10', '7', '9']","['1', '3', '10', '7', '9']",3,0.7928571428571428,0.7295918367346939,0.8306122448979592,0.9255102040816326,0.8020408163265306,0.6846938775510204,0.898469387755102,0.874234693877551,0.9012755102040816,0.9346938775510204,0.914795918367347,0.7964285714285714
5,"['1', '3', '10', '7', '9']","['1', '3', '10', '7', '9']",4,0.7857142857142857,0.6714285714285714,0.8030612244897959,0.9112244897959184,0.8846938775510204,0.7826530612244897,0.9022959183673469,0.8987244897959183,0.9079081632653061,0.9400510204081632,0.9043367346938775,0.7778061224489796
6,"['1', '3', '10', '7', '9']","['1', '3', '10', '7', '9']",0,0.9377551020408164,0.9459183673469388,0.9224489795918367,0.936734693877551,0.9224489795918367,0.9316326530612244,0.9489795918367347,0.9704081632653061,0.948469387755102,0.9517857142857142,0.9596938775510204,0.9370058658505483
6,"['1', '3', '10', '7', '9']","['1', '3', '10', '7', '9']",1,0.8928571428571429,0.9112244897959184,0.9193877551020408,0.886734693877551,0.9142857142857143,0.8479591836734693,0.9584183673469387,0.9647959183673469,0.9438775510204082,0.9568877551020408,0.9591836734693877,0.9444019382810508
6,"['1', '3', '10', '7', '9']","['1', '3', '10', '7', '9']",2,0.9224489795918367,0.936734693877551,0.9102040816326531,0.9255102040816326,0.9112244897959184,0.7930682976554536,0.9520408163265306,0.9693877551020408,0.9489795918367347,0.951530612244898,0.9573979591836734,0.9505102040816327
6,"['1', '3', '10', '7', '9']","['1', '3', '10', '7', '9']",3,0.8826530612244898,0.9408163265306122,0.8326530612244898,0.9153061224489796,0.9408163265306122,0.8397959183673469,0.9545918367346938,0.9676020408163265,0.9653061224489796,0.9604591836734694,0.9591836734693877,0.9400663096148941
6,"['1', '3', '10', '7', '9']","['1', '3', '10', '7', '9']",4,0.9336734693877551,0.8642857142857143,0.8571428571428571,0.8459183673469388,0.9183673469387755,0.8948979591836734,0.9459183673469388,0.9711734693877551,0.9535714285714286,0.960204081632653,0.9589285714285715,0.9433817903596021
7,"['1', '3', '10', '7', '9']","['1', '3', '10', '7', '9']",0,0.9041794087665648,0.8959183673469387,0.8775510204081632,0.9061224489795918,0.8489795918367347,0.9306122448979591,0.9413265306122449,0.961980096963511,0.9002551020408164,0.9732142857142857,0.9464285714285714,0.9497705252422234
7,"['1', '3', '10', '7', '9']","['1', '3', '10', '7', '9']",1,0.8887755102040816,0.9489795918367347,0.8377551020408164,0.9377551020408164,0.9571428571428572,0.8756371049949032,0.9441469013006886,0.9642766011737688,0.9020408163265307,0.9683673469387755,0.9456632653061224,0.958173935220607
7,"['1', '3', '10', '7', '9']","['1', '3', '10', '7', '9']",2,0.8469387755102041,0.8989795918367347,0.8142857142857143,0.926530612244898,0.8061224489795918,0.9775510204081632,0.9413414945167049,0.9637662669048227,0.900765306122449,0.9727040816326531,0.9591836734693877,0.9411014788373279
7,"['1', '3', '10', '7', '9']","['1', '3', '10', '7', '9']",3,0.7275510204081632,0.9275510204081633,0.7755102040816326,0.9122448979591836,0.8877551020408163,0.8612244897959184,0.94312675337924,0.9630007655014035,0.9181122448979592,0.9732142857142857,0.951530612244898,0.9581845996940337
7,"['1', '3', '10', '7', '9']","['1', '3', '10', '7', '9']",4,0.8061224489795918,0.898876404494382,0.7959183673469388,0.9336734693877551,0.8581632653061224,0.928644240570846,0.9387911247130833,0.9645408163265307,0.9076530612244897,0.9709183673469388,0.949234693877551,0.9487375669472073
8,"['1', '3', '10', '7', '9']","['1', '3', '10', '7', '9']",0,0.8704081632653061,0.8693877551020408,0.75,0.8683673469387755,0.8622448979591837,0.9122448979591836,0.9454081632653061,0.9619897959183673,0.9255102040816326,0.963265306122449,0.925,0.9178571428571428
8,"['1', '3', '10', '7', '9']","['1', '3', '10', '7', '9']",1,0.8520408163265306,0.9387755102040817,0.810204081632653,0.8438775510204082,0.8591836734693877,0.9020408163265307,0.9459183673469388,0.9561224489795919,0.9186224489795919,0.9714285714285714,0.9301020408163265,0.9142857142857143
8,"['1', '3', '10', '7', '9']","['1', '3', '10', '7', '9']",2,0.8795918367346939,0.8877551020408163,0.8775510204081632,0.9877551020408163,0.7948979591836735,0.810204081632653,0.9494897959183674,0.9530612244897959,0.9168367346938775,0.9561224489795919,0.9354591836734694,0.9308673469387755
8,"['1', '3', '10', '7', '9']","['1', '3', '10', '7', '9']",3,0.8979591836734694,0.939795918367347,0.889795918367347,0.8877551020408163,0.8969387755102041,0.9010204081632653,0.9448979591836735,0.9553571428571429,0.9122448979591836,0.9696428571428571,0.9275510204081633,0.9211734693877551
8,"['1', '3', '10', '7', '9']","['1', '3', '10', '7', '9']",4,0.8306122448979592,0.85,0.8020408163265306,0.9020408163265307,0.8204081632653061,0.8489795918367347,0.9543367346938776,0.9711734693877551,0.9211734693877551,0.9673469387755103,0.9306122448979591,0.922704081632653
