sub,source,target,fold,test_acc,train_acc
1,"['2', '5', '6', '8']",['4'],2,0.9593537414965987,0.9702365134201435
1,"['2', '5', '6', '8']",['4'],3,0.9585034013605442,0.9713541666666666
1,"['2', '5', '6', '8']",['4'],4,0.955952380952381,0.9676853574275843
2,"['2', '5', '6', '8']",['4'],0,0.9403162727427308,0.9445713982037519
2,"['2', '5', '6', '8']",['4'],1,0.9474579153205237,0.9467446186553282
2,"['2', '5', '6', '8']",['4'],2,0.9467777588845434,0.9459531274910985
2,"['2', '5', '6', '8']",['4'],3,0.9459275633395681,0.9423925174044747
2,"['2', '5', '6', '8']",['4'],4,0.947968032647509,0.9451588904240621
3,"['2', '5', '6', '8']",['4'],0,0.9380952380952381,0.9625850340136054
3,"['2', '5', '6', '8']",['4'],1,0.9403061224489796,0.9622661564625851
3,"['2', '5', '6', '8']",['4'],2,0.9350340136054421,0.9631696428571429
3,"['2', '5', '6', '8']",['4'],3,0.9401360544217687,0.9630102040816326
3,"['2', '5', '6', '8']",['4'],4,0.9355442176870749,0.9601934523809523
4,"['2', '5', '6', '8']",['4'],0,0.8554421768707483,0.9521759923481588
4,"['2', '5', '6', '8']",['4'],1,0.8472789115646259,0.9527098831030818
4,"['2', '5', '6', '8']",['4'],2,0.8571428571428571,0.9502603889892656
4,"['2', '5', '6', '8']",['4'],3,0.8586734693877551,0.9497316541792868
4,"['2', '5', '6', '8']",['4'],4,0.8312925170068027,0.9501594048884165
5,"['2', '5', '6', '8']",['4'],0,0.9239795918367347,0.9327204123930488
5,"['2', '5', '6', '8']",['4'],1,0.9212585034013605,0.9374501780305043
5,"['2', '5', '6', '8']",['4'],2,0.925,0.9372907477281182
5,"['2', '5', '6', '8']",['4'],3,0.9195578231292517,0.9354804421768708
5,"['2', '5', '6', '8']",['4'],4,0.9217687074829932,0.9311792528033161
6,"['2', '5', '6', '8']",['4'],0,0.9523890494813807,0.9665214156658518
6,"['2', '5', '6', '8']",['4'],1,0.9515388539364054,0.9650297619047619
6,"['2', '5', '6', '8']",['4'],2,0.9513688148274103,0.9658251395163433
6,"['2', '5', '6', '8']",['4'],3,0.9515388539364054,0.9660377358490566
