sub,source,target,fold,test_acc,train_acc
1,['2'],['4'],1,0.9386054421768707,0.9772534013605442
1,['2'],['4'],2,0.9277210884353742,0.9757653061224489
1,['2'],['4'],3,0.9289115646258503,0.9785289115646258
1,['2'],['4'],4,0.9294217687074829,0.9759778911564626
2,['2'],['4'],0,0.8920251657881313,0.9668437832093517
2,['2'],['4'],1,0.90137731678286,0.96875
2,['2'],['4'],2,0.9314742390749873,0.9683315621679065
2,['2'],['4'],3,0.9119197415405543,0.963230605738576
2,['2'],['4'],4,0.9102193504506036,0.9659936238044633
3,['2'],['4'],0,0.9030612244897959,0.9751275510204082
3,['2'],['4'],1,0.9083333333333333,0.9755527210884354
3,['2'],['4'],2,0.9086734693877551,0.9787414965986394
3,['2'],['4'],3,0.9212585034013605,0.9781037414965986
3,['2'],['4'],4,0.9061224489795918,0.9764030612244898
4,['2'],['4'],0,0.8175170068027211,0.9568544102019129
4,['2'],['4'],1,0.7649659863945578,0.9485653560042508
4,['2'],['4'],2,0.7636054421768708,0.9576955782312925
4,['2'],['4'],3,0.7639455782312925,0.953241232731137
4,['2'],['4'],4,0.7564625850340136,0.953028692879915
5,['2'],['4'],0,0.9054421768707483,0.9351615646258503
5,['2'],['4'],1,0.9100340136054422,0.9419642857142857
5,['2'],['4'],2,0.9134353741496599,0.9423894557823129
5,['2'],['4'],3,0.9093537414965986,0.9383503401360545
5,['2'],['4'],4,0.9180272108843538,0.9347363945578231
6,['2'],['4'],0,0.93827580343479,0.9740646258503401
6,['2'],['4'],1,0.9318143172929774,0.9738520408163265
6,['2'],['4'],2,0.928583574222071,0.9725765306122449
6,['2'],['4'],3,0.9338547866009183,0.9751275510204082
6,['2'],['4'],4,0.9403162727427308,0.9713010204081632
7,['2'],['4'],0,0.7324829931972789,0.9223899638528599
7,['2'],['4'],1,0.7355442176870748,0.922815224324899
7,['2'],['4'],2,0.7566326530612245,0.9257920476291729
7,['2'],['4'],3,0.7442176870748299,0.9209183673469388
7,['2'],['4'],4,0.7278911564625851,0.922815224324899
8,['2'],['4'],0,0.9360544217687075,0.9904336734693877
8,['2'],['4'],1,0.9482993197278912,0.9929846938775511
8,['2'],['4'],2,0.9430272108843537,0.9914965986394558
8,['2'],['4'],3,0.9425170068027211,0.9906462585034014
8,['2'],['4'],4,0.9340136054421768,0.9889455782312925
1,['2'],['5'],0,0.9719387755102041,0.9755527210884354
1,['2'],['5'],1,0.9738095238095238,0.9772534013605442
1,['2'],['5'],2,0.9739795918367347,0.9757653061224489
1,['2'],['5'],3,0.9722789115646259,0.9785289115646258
1,['2'],['5'],4,0.9732993197278912,0.9759778911564626
2,['2'],['5'],0,0.9307823129251701,0.9668437832093517
2,['2'],['5'],1,0.9314625850340136,0.96875
2,['2'],['5'],2,0.9343537414965987,0.9683315621679065
2,['2'],['5'],3,0.9331632653061225,0.963230605738576
2,['2'],['5'],4,0.9321428571428572,0.9659936238044633
3,['2'],['5'],0,0.9433673469387756,0.9751275510204082
3,['2'],['5'],1,0.9362244897959183,0.9755527210884354
3,['2'],['5'],2,0.9431972789115646,0.9787414965986394
3,['2'],['5'],3,0.9481292517006803,0.9781037414965986
3,['2'],['5'],4,0.9377551020408164,0.9764030612244898
4,['2'],['5'],0,0.9161992180860106,0.9568544102019129
4,['2'],['5'],1,0.898521162672106,0.9485653560042508
4,['2'],['5'],2,0.8922318544960054,0.9576955782312925
4,['2'],['5'],3,0.914329423763386,0.953241232731137
4,['2'],['5'],4,0.9085500594934557,0.953028692879915
5,['2'],['5'],0,0.9066485291617072,0.9351615646258503
5,['2'],['5'],1,0.9199115796633226,0.9419642857142857
5,['2'],['5'],2,0.913620132630505,0.9423894557823129
5,['2'],['5'],3,0.9168508757014113,0.9383503401360545
5,['2'],['5'],4,0.9148104063934704,0.9347363945578231
6,['2'],['5'],0,0.9153205237204557,0.9740646258503401
6,['2'],['5'],1,0.9180411494643768,0.9738520408163265
