sub,source,target,fold,z_acc,score1,score2,score3,score4,score5,score6,score7,score8,score9
3,"['1', '2', '3', '4', '5', '6', '7', '8', '9']","['1', '2', '3', '4', '5', '6', '7', '8', '9']",3,0.5348199943305301,0.496943231441048,0.4153846153846154,0.6266666666666667,0.4508748317631225,0.3783783783783784,0.639269406392694,0.6147826086956522,0.4367555303460011,0.5436893203883495
3,"['1', '2', '3', '4', '5', '6', '7', '8', '9']","['1', '2', '3', '4', '5', '6', '7', '8', '9']",4,0.5687830687830688,0.5693617021276596,0.5490943755958055,0.6698924731182796,0.4837328767123288,0.3876843018213356,0.5797448165869219,0.6470070422535211,0.525623268698061,0.6070588235294118
4,"['1', '2', '3', '4', '5', '6', '7', '8', '9']","['1', '2', '3', '4', '5', '6', '7', '8', '9']",0,0.623937275647081,0.6416803953871499,0.49056603773584906,0.6814326107445806,0.6455921638468388,0.4341021416803954,0.8575581395348837,0.6241970021413277,0.53550099535501,0.5926449787835927
4,"['1', '2', '3', '4', '5', '6', '7', '8', '9']","['1', '2', '3', '4', '5', '6', '7', '8', '9']",1,0.5961065961065961,0.7360454115421002,0.4913169319826339,0.593108504398827,0.644559585492228,0.33665158371040727,0.6448243114909782,0.6295081967213115,0.5639204545454546,0.5318829707426856
4,"['1', '2', '3', '4', '5', '6', '7', '8', '9']","['1', '2', '3', '4', '5', '6', '7', '8', '9']",2,0.6133572643113546,0.7081260364842454,0.5171255876427132,0.6619718309859155,0.5881753312945973,0.3796680497925311,0.6669784845650141,0.6583242655059848,0.536156351791531,0.5929276315789473
4,"['1', '2', '3', '4', '5', '6', '7', '8', '9']","['1', '2', '3', '4', '5', '6', '7', '8', '9']",3,0.6459140292867265,0.6822429906542056,0.5558086560364465,0.690975387420237,0.5690653432588917,0.40236686390532544,0.7627281460134486,0.6626384692849949,0.575136612021858,0.6134831460674157
4,"['1', '2', '3', '4', '5', '6', '7', '8', '9']","['1', '2', '3', '4', '5', '6', '7', '8', '9']",4,0.6241496598639455,0.7158992180712423,0.5326747720364742,0.6259720062208398,0.5718132854578097,0.36342042755344417,0.7158703071672355,0.5928725701943844,0.5676229508196722,0.6077684691546078
5,"['1', '2', '3', '4', '5', '6', '7', '8', '9']","['1', '2', '3', '4', '5', '6', '7', '8', '9']",0,0.5581065759637188,0.5757085020242915,0.5985130111524164,0.3829479768786127,0.8035487959442332,0.36887417218543045,0.3877139979859013,0.6986899563318777,0.713091922005571,0.43854545454545457
5,"['1', '2', '3', '4', '5', '6', '7', '8', '9']","['1', '2', '3', '4', '5', '6', '7', '8', '9']",1,0.5613189720332578,0.5461254612546126,0.6029539530842746,0.4152,0.7781609195402299,0.3192227619708536,0.3896236012207528,0.6797658862876255,0.6826401446654611,0.43993506493506496
5,"['1', '2', '3', '4', '5', '6', '7', '8', '9']","['1', '2', '3', '4', '5', '6', '7', '8', '9']",2,0.5589569160997733,0.5610367892976589,0.6580645161290323,0.41909620991253643,0.7737226277372263,0.3549965059399022,0.4854771784232365,0.719634703196347,0.6303751143641354,0.36500655307994756
